"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"516","516","1995","21926","330","18.9"
"517","517","2005","22121","330","19"
"518","518","2016","22311","331","18.9"
"519","519","2025","22491","331","18.15"
"520","520","2034","22661","331","15.4"
"521","521","2042","22827","331","16.55"
"522","522","2049","22978","331","10.9"
"523","523","2055","23123","331","12.25"
"524","524","2060","23260","331","11.65"
"525","525","2065","23388","331","8.95"
"526","526","2068","23508","331","8.05"
"527","527","2071","23621","331","9.45"
"528","528","2073","23718","332","3.5"
"529","529","2074","23808","332","2.85"
"530","530","2074","23890","332","2.4"
"531","531","2073","23965","332","2.15"
"532","532","2071","24032","332","2.4"
"533","533","2068","24088","332","2.75"
"534","534","2065","24130","332","-3.15"
"535","535","2061","24167","332","-1.15"
"536","536","2055","24196","333","-0.7"
"537","537","2050","24214","333","-2.25"
"538","538","2042","24219","334","-4.05"
"539","539","2035","24217","334","-4.7"
"540","540","2026","24200","334","-7.6"
"541","541","2015","24167","334","-13.15"
"542","542","2005","24127","334","-13.8"
"543","543","1995","24076","334","-15.7"
"544","544","1983","24020","334","-14.95"
"545","545","1970","23956","334","-15.35"
"546","546","1955","23878","335","-16"
"547","547","1941","23787","335","-22.95"
"548","548","1925","23696","335","-16.85"
"549","549","1909","23591","335","-19.7"
"550","550","1891","23472","336","-22.9"
"551","551","1873","23351","336","-21.1"
"552","552","1855","23217","336","-21.9"
"553","553","1836","23070","336","-26.5"
"554","554","1814","22920","336","-23.25"
"555","555","1794","22757","336","-24.85"
"556","556","1772","22583","337","-27.7"
"557","557","1749","22402","337","-26.9"
"558","558","1726","22210","337","-28.05"
"559","559","1702","22007","337","-31.95"
"560","560","1676","21798","338","-29.5"
"561","561","1651","21578","338","-32.35"
"562","562","1625","21351","338","-32.2"
"563","563","1598","21115","338","-31.35"
"564","564","1571","20868","338","-34.05"
"565","565","1543","20612","338","-34.7"
"566","566","1514","20343","339","-38.2"
"567","567","1485","20073","339","-35.85"
"568","568","1454","19792","339","-36.4"
"569","569","1424","19501","339","-39.75"
"570","570","1393","19204","340","-38.7"
"571","571","1361","18901","340","-38.4"
"572","572","1329","18584","340","-42.85"
"573","573","1297","18264","340","-42.55"
"574","574","1263","17938","341","-41"
"575","575","1229","17602","341","-43.05"
"576","576","1195","17257","341","-44.85"
"577","577","1160","16907","341","-44.8"
"578","578","1126","16546","342","-48.45"
"579","579","1091","16184","342","-47.4"
"580","580","1054","15814","343","-47.6"
"581","581","1018","15435","343","-50.4"
"582","582","982","15051","343","-50.8"
"583","583","945","14666","343","-49.45"
"584","584","908","14271","344","-52.3"
"585","585","870","13869","344","-55.05"
"586","586","833","13468","344","-52.5"
"587","587","795","13060","344","-52.7"
"588","588","757","12644","344","-56.15"
"589","589","718","12231","344","-53.7"
"590","590","680","11812","345","-54.05"
"591","591","642","11387","345","-56.75"
"592","592","604","10962","345","-55.35"
"593","593","566","10535","345","-55.95"
"594","594","528","10108","346","-54.1"
"595","595","491","9679","346","-55.95"
"596","596","456","9259","346","-52.25"
"597","597","425","8845","346","-51.95"
"598","598","396","8441","346","-50"
"599","599","372","8057","346","-45.8"
"600","600","350","7692","347","-41.1"
"601","601","332","7345","347","-39.2"
"602","602","317","7019","347","-36"
"603","603","305","6719","347","-31.45"
"604","604","297","6446","347","-25.5"
