"Version","0.1"
"TraceType","Singola","0"
"SamplingIntervalType","Ora","1"
"SamplingInterval","1000"
"TotalTraceTime","1024"

"EnableTriggerCondition","Trigger 1","1"
"Triggers","Velocità effettiva (16 bit):0:≠:3:0:Filtrato con gli ultimi 8 valori:8:::=:2:0:Nessun filtro:0"
"PostTriggerDataRatio","100"

"Index","Offset","Velocità istruzioni di posizione interna (16 bit):2","Errore di inseguimento posizione encoder (16 bit):6","Tensione fra P e N (16 bit):9","Istruzione di coppia (16 bit):4"
"631","631","-38","767","329","-9.15"
"632","632","-52","638","329","-8.8"
"633","633","-64","505","329","-9.55"
"634","634","-77","360","329","-14.75"
"635","635","-90","207","329","-20.25"
"636","636","-102","52","329","-23.45"
"637","637","-116","-107","329","-25.5"
"638","638","-128","-266","329","-27.45"
"639","639","-141","-423","329","-27.15"
"640","640","-154","-581","329","-28.85"
"641","641","-167","-736","329","-28.05"
"642","642","-180","-891","329","-28.55"
"643","643","-193","-1043","329","-26.3"
"644","644","-205","-1193","328","-26.55"
"645","645","-209","-1321","328","-23.6"
"646","646","-201","-1412","328","-15.95"
"647","647","-188","-1471","328","-9.65"
"648","648","-174","-1509","329","-8.95"
"649","649","-162","-1528","329","-6.85"
"650","650","-149","-1528","328","-4.5"
"651","651","-137","-1510","328","-1.45"
"652","652","-123","-1475","328","1.9"
"653","653","-110","-1428","328","4.3"
"654","654","-98","-1370","328","5.8"
"655","655","-85","-1301","328","8.35"
"656","656","-72","-1224","329","11"
"657","657","-59","-1150","329","6.05"
"658","658","-46","-1080","329","-0.8"
"659","659","-33","-1011","329","-7.15"
"660","660","-21","-937","329","-10.05"
"661","661","-9","-860","329","-12.1"
"662","662","-1","-784","329","-13.45"
"663","663","0","-719","329","-14.85"
"664","664","-1","-665","329","-17.65"
"665","665","-4","-624","329","-19.6"
"666","666","-8","-592","329","-20.8"
"667","667","-15","-574","329","-22.95"
"668","668","-23","-571","329","-24.8"
"669","669","-34","-579","329","-25.35"
"670","670","-45","-600","329","-25.7"
"671","671","-59","-635","329","-26.55"
"672","672","-74","-682","329","-26.4"
"673","673","-90","-743","329","-26.2"
"674","674","-108","-817","329","-25.75"
"675","675","-127","-913","329","-30.2"
"676","676","-146","-1012","329","-25.7"
